position,retirementAge,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
4,38,11,24,31,True
4,34,12,26,19,False
3,32,31,29,41,True
3,35,0,18,20,False
3,38,1,28,35,False
3,39,1,18,26,False
3,34,16,33,31,False
3,35,27,24,32,False
2,37,16,2,9,True
2,32,13,8,25,True
1,38,8,0,27,False
1,36,6,15,42,False
4,36,0,13,7,True
4,39,26,24,13,False
3,35,28,13,13,False
3,38,19,34,21,False
3,35,0,4,27,True
3,36,1,31,27,False
2,35,23,25,24,False
2,33,13,10,22,True
2,39,4,25,27,False
2,35,6,6,10,True
4,39,0,17,39,True
4,37,2,2,4,False
3,36,13,12,30,True
3,38,13,32,29,False
2,34,8,12,35,True
2,32,3,19,29,True
2,34,12,42,11,True
2,34,3,28,31,True
2,30,1,23,16,False
2,36,1,4,11,False
2,37,15,20,29,False
2,36,18,12,30,False
4,35,12,30,25,False
4,40,25,25,36,False
4,38,31,18,18,True
2,35,38,31,38,True
4,33,13,16,38,True
4,36,31,19,35,True
3,39,14,18,16,True
3,42,8,13,37,True
3,38,4,18,30,True
3,33,10,40,15,True
3,33,2,4,6,True
3,40,0,16,45,False
2,34,12,7,6,True
2,37,31,26,6,True
2,35,3,13,10,True
2,36,17,26,21,True
2,37,12,16,40,True
1,37,38,43,5,True
4,33,21,37,13,True
4,36,32,26,22,True
4,36,11,24,34,True
3,40,22,32,33,False
3,30,24,29,14,False
3,33,7,11,7,False
3,36,14,29,40,False
3,38,25,23,31,False
3,39,21,21,33,True
2,36,4,29,29,True
2,35,14,19,27,True
2,33,6,15,26,True
2,38,14,8,1,True
2,38,14,25,35,True
2,39,15,12,8,False
2,38,11,40,30,True
2,36,31,36,32,False
2,37,12,23,34,True
4,35,5,9,26,True
4,39,13,29,30,True
4,37,6,31,34,True
3,38,3,9,22,True
3,37,7,19,34,True
3,38,31,29,48,False
3,32,11,21,17,True
3,37,15,18,34,True
3,36,15,19,37,True
3,34,28,30,32,True
3,33,2,4,6,True
3,34,2,18,24,True
3,36,35,55,49,False
3,36,31,22,44,False
3,33,29,22,22,False
3,37,15,21,31,True
2,31,15,39,16,False
2,37,31,22,25,True
2,34,18,5,40,True
2,37,7,28,26,True
2,33,3,27,20,True
2,39,8,21,27,False
2,36,34,39,39,True
2,35,4,27,3,True
1,34,0,0,1,False
4,34,11,13,24,False
3,34,21,28,34,True
3,36,23,33,12,True
2,34,1,1,14,True
2,34,26,13,10,False
2,35,40,40,34,False
2,34,16,20,28,True
2,31,6,14,12,True
2,36,1,40,32,False
2,36,5,29,35,False
2,39,35,40,33,True
2,35,30,44,26,True
1,37,1,17,37,True
4,35,13,2,22,False
4,37,27,34,32,False
4,39,10,28,21,False
4,35,3,12,20,True
3,36,0,14,24,False
3,36,4,12,17,True
3,34,14,19,51,True
3,35,14,20,37,True
2,36,9,24,15,True
2,37,2,15,31,False
2,32,21,26,25,True
2,35,8,30,35,False
2,31,19,18,12,False
2,34,21,37,37,True
2,33,9,18,39,True
1,38,4,35,33,True
4,36,34,37,15,True
3,39,7,15,31,True
3,36,7,18,28,False
3,33,8,7,18,False
3,31,31,26,28,False
3,35,13,17,29,False
2,38,27,21,19,False
2,36,1,7,20,True
2,32,6,30,12,False
2,33,11,13,8,True
2,34,3,15,15,True
1,38,4,24,6,False
1,37,12,28,14,True
4,37,1,28,32,True
4,37,23,24,9,True
4,36,4,16,27,True
3,36,24,11,8,False
3,34,5,9,26,False
3,38,25,24,18,True
2,33,19,25,15,False
2,32,16,37,13,True
2,35,23,9,7,True
2,35,21,41,36,False
2,38,1,15,26,False
2,32,8,24,20,True
2,37,11,34,36,True
4,38,1,3,4,False
4,37,23,33,25,True
4,35,0,13,14,False
3,35,7,8,25,False
2,38,11,17,18,False
4,36,12,2,1,False
3,35,25,23,11,False
2,31,4,11,10,False
2,30,25,27,16,False
2,34,9,4,8,True
2,37,13,28,38,False
2,33,2,24,26,False
1,37,0,21,6,True
4,36,1,1,3,False
3,34,5,7,35,False
3,40,33,17,34,False
3,37,31,34,8,False
2,36,1,23,31,True
2,35,2,3,12,True
2,34,4,1,31,False
2,37,1,31,26,False
3,34,32,24,27,False
3,37,5,26,16,False
3,37,7,45,13,False
3,34,14,26,29,True
3,31,16,10,20,False
2,35,5,25,30,False
2,32,19,18,16,False
2,35,16,3,21,False
2,38,1,15,27,False
2,30,15,18,4,False
1,40,11,10,3,False
4,35,13,17,11,True
4,36,26,10,27,False
3,34,6,2,33,False
2,37,16,25,16,True
2,35,7,17,28,False
2,34,1,9,33,True
2,36,21,24,23,False
2,38,25,12,29,False
3,38,8,1,6,False
3,34,23,27,28,False
3,36,8,26,24,False
3,36,21,11,23,True
